|||			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.|||			Please add a stock quantity of {4} to proceed with this entry.|||			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.|||			However, enabling this setting may lead to negative stock in the system.|||			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.,|||			تحتوي الدفعة {0} من العنصر {1} على مخزون سالب في المستودع {2}{3}.|||			الرجاء إضافة كمية مخزون {4} لمتابعة هذا الإدخال.|||			إذا لم يكن من الممكن إجراء إدخال تعديل، برجاء تمكين 'السماح بالمخزون السلبي للدفعة' في إعدادات المخزون للمتابعة.|||			على أية حال، تمكين هذا الإعداد قد يؤدي إلى مخزون سلبي في النظام.|||			لذا يرجى التأكد من تعديل مستويات المخزون في أقرب وقت ممكن للحفاظ على معدل التقييم الصحيح.,
<div class="well">|||    Edit list of Series in the box. Rules:|||    <ul>|||        <li>Each Series Prefix on a new line.</li>|||        <li>Allowed special characters are "/" and "-"</li>|||        <li>|||            Optionally, set the number of digits in the series using dot (.)|||            followed by hashes (#). For example, ".####" means that the series|||            will have four digits. Default is five digits.|||        </li>|||        <li>|||            You can also use variables in the series name by putting them|||            between (.) dots|||            <br>|||            Supported Variables:|||            <ul>|||                <li><code>.YYYY.</code> - Year in 4 digits</li>|||                <li><code>.YY.</code> - Year in 2 digits</li>|||                <li><code>.MM.</code> - Month</li>|||                <li><code>.DD.</code> - Day of month</li>|||                <li><code>.WW.</code> - Week of the year</li>|||                <li><code>.FY.</code> - Fiscal Year</li>|||                <li>|||                    <code>.{fieldname}.</code> - fieldname on the document e.g.|||                    <code>branch</code>|||                </li>|||            </ul>|||        </li>|||    </ul>|||    Examples:|||    <ul>|||        <li>INV-</li>|||        <li>INV-10-</li>|||        <li>INVK-</li>|||        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>|||    </ul>|||</div>|||<br>|||,<div class="well">|||    تحرير قائمة السلسلة في المربع. القواعد:|||    <ul>|||        <li>كل بادئة سلسلة في سطر جديد.</li>|||        <li>الأحرف الخاصة المسموح بها هي "/" و"-"</li>|||        <لي>|||            اختياريًا، قم بتعيين عدد الأرقام في السلسلة باستخدام النقطة (.)|||            متبوعة بالعلامات (#). على سبيل المثال، ".####" يعني أن السلسلة|||            سيكون لها أربعة أرقام. الافتراضي هو خمسة أرقام.|||        </لي>|||        <لي>|||            يمكنك أيضًا استخدام المتغيرات في اسم السلسلة عن طريق وضعها |||            بين (.) النقط|||            <br>|||            المتغيرات المدعومة:|||            <ul>|||                <li><code>.YYYY.</code> - السنة مكونة من 4 أرقام</li>|||                <li><code>.YY.</code> - السنة مكونة من رقمين</li>|||                <li><code>.MM.</code> - شهر</li>|||                <li><code>.DD.</code> - يوم من الشهر</li>|||                <li><code>.WW.</code> - الأسبوع من العام</li>|||                <li><code>.FY.</code> - السنة المالية</li>|||                <لي>|||                    <code>.{fieldname}.</code> - اسم الحقل في المستند، على سبيل المثال|||                    <code>فرع</code>|||                </لي>|||            </ul>|||        </لي>|||    </ul>|||    أمثلة:|||    <ul>|||        <li>INV-</li>|||        <li>INV-10-</li>|||        <li>INVK-</li>|||        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>|||    </ul>|||</div>|||<br>|||,
<div><strong>Prepayment Invoice Acknowledgment</strong><p>By checking this box, you confirm that this Payment Entry will be submitted to <strong>ZATCA</strong> as a <strong>Prepayment Invoice</strong>. Please ensure the following tax line settings are correctly configured:</p><ul><li><strong>Add or Deduct</strong>: Must be set to <strong>Deduct</strong> or <strong>On Paid Amount If Sales Order Found</strong></li><li><strong>Considered in Paid Amount</strong>: Must be set to <strong>False</strong></li><li><strong>Type</strong>: Must be set to <strong>Actual</strong></li></ul><p><strong>Important:</strong> When selecting <strong>Actual</strong> as the type, you are responsible for manually calculating the tax amount using the formula:</p><p><code>Tax Amount = Paid Amount − (Paid Amount ÷ (1 + Tax Rate))</code></p><p><em>Example:</em> For a paid amount of 10,000 SAR and a 15% tax rate:<br><strong>Tax Amount = 10,000 − (10,000 ÷ 1.15) = 1,304.35</strong></p></div>,<div><strong>إقرار فاتورة الدفع المسبق</strong><p>من خلال تحديد هذا المربع، فإنك تؤكد أنه سيتم إرسال إدخال الدفع هذا إلى <strong>ZATCA</strong> باعتباره <strong>فاتورة الدفع المسبق</strong>. يرجى التأكد من تكوين إعدادات سطر الضريبة التالية بشكل صحيح:</p><ul><li><strong>إضافة أو خصم</strong>: يجب تعيينه على <strong>خصم</strong> أو <strong>على المبلغ المدفوع في حالة العثور على أمر مبيعات</strong></li><li><strong>يؤخذ في الاعتبار في المبلغ المدفوع</strong>: يجب تعيينه على <strong>خطأ</strong></li><li><strong>النوع</strong>: يجب تعيينه على <strong>فعلي</strong></li></ul><p><strong>هام:</strong> عند تحديد <strong>فعلي</strong> كنوع، فأنت مسؤول عن حساب مبلغ الضريبة يدويًا باستخدام الصيغة:</p><p><code>مبلغ الضريبة = المبلغ المدفوع − (المبلغ المدفوع ÷ (1 + معدل الضريبة))</code></p><p><em>مثال:</em> لمبلغ مدفوع قدره 10,000 ريال سعودي ومعدل ضريبة 15%:<br><strong>مبلغ الضريبة = 10,000 − (10,000 ÷ 1.15) = 1,304.35</strong></p></div>,
<h3>Help</h3>||||||<p>Notes:</p>||||||<ol>|||<li>Use field <code>base</code> for using base salary of the Employee</li>|||<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>|||<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>|||<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>|||<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>||||||<h4>Examples</h4>|||<ol>|||<li>Calculating Basic Salary based on <code>base</code>|||<pre><code>Condition: base &lt; 10000</code></pre>|||<pre><code>Formula: base * .2</code></pre></li>|||<li>Calculating HRA based on Basic Salary<code>BS</code> |||<pre><code>Condition: BS &gt; 2000</code></pre>|||<pre><code>Formula: BS * .1</code></pre></li>|||<li>Calculating TDS based on Employment Type<code>employment_type</code> |||<pre><code>Condition: employment_type=="Intern"</code></pre>|||<pre><code>Amount: 1000</code></pre></li>|||</ol>,<h3>مساعدة</h3>||||||<p>ملاحظات:</p>||||||<ol>|||<li>استخدم الحقل <code>الأساس</code> لاستخدام الراتب الأساسي للموظف</li>|||<li>استخدم اختصارات مكون الراتب في الشروط والصيغ. <code>BS = الراتب الأساسي</code></li>|||<li>استخدم اسم الحقل لتفاصيل الموظف في الشروط والصيغ. <code>نوع التوظيف = نوع_التوظيف</code><code>الفرع = فرع</code></li>|||<li>استخدم اسم الحقل من قسيمة الراتب في الشروط والصيغ. <code>أيام الدفع = Payment_days</code><code>إجازة بدون أجر = leave_without_pay</code></li>|||<li>يمكن أيضًا إدخال المبلغ المباشر بناءً على الحالة. انظر المثال 3</li></ol>||||||<h4>أمثلة</h4>|||<ol>|||<li>حساب الراتب الأساسي على أساس <code>الأساس</code>|||<pre><code>الشرط: الأساس &lt; 10000</code></pre>|||<pre><code>الصيغة: الأساس * .2</code></pre></li>|||<li>حساب HRA على أساس الراتب الأساسي<code>BS</code> |||<pre><code>الحالة: BS &gt; 2000</code></pre>|||<pre><code>الصيغة: BS * .1</code></pre></li>|||<li>حساب المواد الصلبة الذائبة على أساس نوع التوظيف<code>employment_type</code> |||<pre><code>الحالة: Employment_type=="Intern"</code></pre>|||<pre><code>المبلغ: 1000</code></pre></li>|||</ol>,
<h4>Condition Examples</h4>|||<ol>|||<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>|||<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>|||<code>Condition: gender=="Male"</code></li><br>|||<li>Applying tax by Salary Component<br>|||<code>Condition: base &gt; 10000</code></li></ol>,<h4>أمثلة الشروط</h4>|||<ol>|||<li>تطبيق الضريبة إذا ولد الموظف بين 31-12-1937 و01-01-1958 (الموظفون الذين تتراوح أعمارهم بين 60 إلى 80)<br>|||<code>الحالة: date_of_birth&gt;date(1937, 12, 31) و date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>تطبيق الضريبة حسب جنس الموظف<br>|||<code>الحالة: الجنس=="ذكر"</code></li><br>|||<li>تطبيق الضريبة حسب مكون الراتب<br>|||<code>الحالة: الأساس &gt; 10000</code></li></ol>,
<h5>Employees on Half Day</h5>,<h5>الموظفون في نصف يوم</h5>,
<h5>Unmarked Employees</h5>,<h5>الموظفون غير المحددين</h5>,
<hr>,<ساعة>,
<li>Packed Item {0}: Required {1}, Available {2}</li>,<li>العنصر المعبأ {0}: مطلوب {1}، متاح {2}</li>,
<li>{}</li>,<لي>{}</li>,
<p><strong>Condition Examples:</strong></p>|||<pre>doc.status=="Open"<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>|||,<p><strong>أمثلة الشروط:</strong></p>|||<pre>doc.status=="Open"<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>|||,
<p>The ZATCA CLI is an open-source tool used to generate CSRs, validate, and sign XML sales invoices sent to ZATCA.</p>||||||<p><b>Automatic:</b> One-click setup downloads the CLI and Java 11 runtime from GitHub by default (configurable)</p>|||<p><b>Manual:</b> You manually deploy the CLI on the server as well as a Java 11 runtime and configure the path to the deployed CLI</p>,<p>ZATCA CLI هي أداة مفتوحة المصدر تستخدم لإنشاء CLIs والتحقق من صحة وتوقيع فواتير مبيعات XML المرسلة إلى ZATCA.</p>||||||<p><b>تلقائي:</b> يقوم الإعداد بنقرة واحدة بتنزيل وقت تشغيل CLI وJava 11 من GitHub افتراضيًا (قابل للتكوين)</p>|||<p><b>يدوي:</b> يمكنك نشر واجهة سطر الأوامر يدويًا على الخادم بالإضافة إلى Java. 11 وقت التشغيل وقم بتكوين المسار إلى واجهة سطر الأوامر (CLI) المنشورة</p>,
<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,
A Job Requisition for {0} requested by {1} already exists: {2},طلب وظيفة لـ {0} تم طلبه بواسطة {1} موجود بالفعل: {2},
A POS supervisor is required for this action.,مطلوب مشرف POS لهذا الإجراء.,
A friendly reminder of an important date for our team.,تذكير ودي بتاريخ مهم لفريقنا.,
A new fiscal year has been automatically created.,تم إنشاء سنة مالية جديدة تلقائيًا.,
ACC-ADS-.YYYY.-,ACC-ADS-.YYYY.-,
ACC-ASA-.YYYY.-,ACC-ASA-.YYYY.-,
ACC-ASC-.YYYY.-,ACC-ASC-.YYYY.-,
AWB Number,رقم ايه دبليو بي,
Above 120 Days,فوق 120 يومًا,
Absent Records,سجلات غائبة,
Account Balance (From),رصيد الحساب (من),
Account Balance (To),رصيد الحساب (إلى),
Account type cannot be set for payroll payable account {0}, please remove and try again,لا يمكن تعيين نوع الحساب لحساب الرواتب مستحق الدفع {0}، يرجى الإزالة والمحاولة مرة أخرى,
Account {0} does not match with Company {1},الحساب {0} لا يتطابق مع الشركة {1},
Accounting & Payment,المحاسبة والدفع,
Accounts not set for Salary Component {0},لم يتم تعيين الحسابات لمكون الراتب {0},
Acknowledge the error to resume scanning.,اعترف بالخطأ لاستئناف المسح.,
Action on Submission,الإجراء عند التقديم,
Action {0} is not allowed for {1} {2},الإجراء {0} غير مسموح به لـ {1} {2},
Active sale,بيع نشط,
Actual Encashable Days,الأيام الفعلية القابلة للصرف,
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,الأرصدة الفعلية غير متوفرة لأن طلب الإجازة يمتد عبر تخصيصات إجازة مختلفة. لا يزال بإمكانك التقدم بطلب للحصول على الإجازات التي سيتم تعويضها خلال التخصيص التالي.,
Add Day-wise Dates,أضف تواريخ اليوم,
Add Employee Property,إضافة ملكية الموظف,
Add Feedback,إضافة تعليقات,
Add New,أضف جديد,
Add Row,إضافة صف,
Add Schedule,إضافة الجدول الزمني,
Add items from the selector to start building this sale.,أضف عناصر من المحدد لبدء إنشاء هذا البيع.,
Add new customer,إضافة عميل جديد,
Add payment to invoice,إضافة الدفع إلى الفاتورة,
Add unused leaves from previous leave period's allocation to this allocation,إضافة الإجازات غير المستخدمة من تخصيص فترة الإجازة السابقة إلى هذا التخصيص,
Add vouchers to generate preview.,أضف قسائم لإنشاء المعاينة.,
Add/Update Filter,إضافة/تحديث عامل التصفية,
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,تمت إضافة مكونات الضريبة من مكون الراتب الرئيسي حيث أن هيكل الراتب لا يحتوي على أي مكون ضريبي.,
Additional Discount %,خصم إضافي %,
Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),لا يمكن أن يتجاوز مبلغ الخصم الإضافي ({discount_amount}) الإجمالي قبل هذا الخصم ({total_before_discount}),
Additional Discount is the separate invoice-level discount.,الخصم الإضافي هو الخصم المنفصل على مستوى الفاتورة.,
Additional Information,معلومات إضافية,
Additional Salary for referral bonus can only be created against Employee Referral with status {0},لا يمكن إنشاء راتب إضافي لمكافأة الإحالة إلا مقابل إحالة الموظف بالحالة {0},
Additional Salary for this salary component with {0} enabled already exists for this date,الراتب الإضافي لمكون الراتب هذا مع تمكين {0} موجود بالفعل لهذا التاريخ,
Additional billing references to be sent to ZATCA,سيتم إرسال مراجع الفواتير الإضافية إلى ZATCA,
Additional {0} {1} of item {2} required as per BOM to complete this transaction,مطلوب {0} {1} إضافي من العنصر {2} وفقًا لقائمة مكونات الصنف لإكمال هذه المعاملة,
Address of the place / port in India from where goods are being exported <br>(for generating e-Waybill against export of goods),عنوان المكان/الميناء في الهند الذي يتم تصدير البضائع منه <br>(لإصدار بوليصة الشحن الإلكترونية مقابل تصدير البضائع),
Adjust,يُعدِّل,
Adjust the quantity or enable negative stock to continue.,اضبط الكمية أو قم بتمكين المخزون السلبي من الاستمرار.,
Advance Account is mandatory. Please set the <a href="/app/company/{0}#default_employee_advance_account" target="_blank">Default Employee Advance Account</a> in the Company record {0} and submit this document.,الحساب المسبق إلزامي. الرجاء تعيين <a href="/app/company/{0}#default_employee_advance_account" target="_blank">الحساب الافتراضي للموظفين المتقدمين</a> في سجل الشركة {0} وإرسال هذا المستند.,
Advance Payment Ledger Entry,إدخال دفتر الأستاذ الدفع المسبق,
Advance Voucher No,رقم القسيمة المسبقة,
Advance Voucher Type,نوع القسيمة المسبقة,
Advanced Filters,مرشحات متقدمة,
Age (hours),العمر (ساعات),
Ageing Report based on,تقرير الشيخوخة على أساس,
Ageing Report based on {0} up to {1},تقرير التقادم يعتمد على {0} حتى {1},
All Goals,جميع الأهداف,
All Results,جميع النتائج,
All Time,كل الوقت,
All allocated assets should be returned before submission,يجب إعادة جميع الأصول المخصصة قبل التقديم,
All the mandatory tasks for employee creation are not completed yet.,جميع المهام الإلزامية لإنشاء الموظفين لم تكتمل بعد.,
Allocate Based On Leave Policy,التخصيص بناءً على سياسة الإجازة,
Allocate Leave,تخصيص الإجازة,
Allocate leaves to {0} employee(s)?,هل تريد تخصيص الإجازات لعدد {0} من الموظفين؟,
Allocate on Day,تخصيص في اليوم,
Allocated {0} leave(s) via scheduler on {1} based on the 'Allocate on Day' option set to {2},تم تخصيص {0} من الإجازات عبر المجدول في {1} استنادًا إلى خيار "التخصيص في اليوم" المعين على {2},
Allocating Leave,تخصيص الإجازة,
Allow Cancel Submitted Cash Movement,السماح بإلغاء الحركة النقدية المقدمة,
Allow Cash Deposit,السماح بالإيداع النقدي,
Allow Change Posting Date,السماح بتغيير تاريخ النشر,
Allow Create Items from POS,السماح بإنشاء عناصر من نقاط البيع,
Allow Create Quotation,السماح بإنشاء عرض أسعار,
Allow Create Suppliers from POS,السماح بإنشاء الموردين من نقاط البيع,
Allow Customer Purchase Order,السماح بطلب شراء العميل,
Allow Delete Cancelled Cash Movement,السماح بحذف الحركة النقدية الملغاة,
Allow Duplicate Customer Names,السماح بأسماء العملاء المكررة,
Allow Editing After Submit,السماح بالتحرير بعد الإرسال,
Allow Editing of Items and Quantities in Work Order,السماح بتحرير العناصر والكميات في أمر العمل,
Allow Employee Checkin from Mobile App,السماح بتسجيل وصول الموظف من تطبيق الهاتف المحمول,
Allow Free Batch Return,السماح بإرجاع الدفعة مجانًا,
Allow Geolocation Tracking,السماح بتتبع الموقع الجغرافي,
Allow Guest to comment,السماح للضيف بالتعليق,
Allow Internal Transfers at Arm's Length Price,السماح بالتحويلات الداخلية بسعر تنافسي,
Allow Leave Application After (Working Days),السماح بطلب الإجازة بعد (أيام العمل),
Allow Line Item Name Override,السماح بتجاوز اسم عنصر السطر,
Allow Make New Payments,السماح بإجراء دفعات جديدة,
Allow Mpesa Reconcile Payments,السماح لـ Mpesa بتسوية المدفوعات,
Allow Multi Currency in POS,السماح بعملات متعددة في نقاط البيع,
Allow Multiple Responses,السماح باستجابات متعددة,
Allow Multiple Shift Assignments for Same Date,السماح بتعيينات التحول المتعددة لنفس التاريخ,
Allow Negative Stock for Batch,السماح للأسهم السلبية للدفعة,
Allow Negative rates for Items,السماح بالمعدلات السلبية للعناصر,
Allow Older Web View Links (Insecure),السماح بروابط عرض الويب الأقدم (غير آمن),
Allow Over Allocation,السماح بالتخصيص الزائد,
Allow POS Expense,السماح بنفقات نقاط البيع,
Allow Print Draft Invoices,السماح بطباعة مسودة الفواتير,
Allow Print Last Invoice,السماح بطباعة الفاتورة الأخيرة,
Allow Purchase Order,السماح بأمر الشراء,
Allow Receive Stock from POS,السماح باستلام المخزون من نقاط البيع,
Allow Reconcile Payments,السماح بتسوية المدفوعات,
Allow Return Without Invoice,السماح بالإرجاع بدون فاتورة,
Allow Select Print Format in Payments,السماح بتحديد تنسيق الطباعة في المدفوعات,
Allow Select Sales Order,السماح بتحديد أمر المبيعات,
Allow Source Account Selection,السماح باختيار حساب المصدر,
Allow Submit,السماح بالإرسال,
Allow Supervisor Gift Card Management,السماح بإدارة بطاقة هدايا المشرف,
Allow Write Off Change,السماح بشطب التغيير,
Allow Zero Rated Items,السماح بالعناصر ذات التصنيف الصفري,
Allow add New Items on New Line,السماح بإضافة عناصر جديدة على الخط الجديد,
Allow opening a read-only customer-facing cart screen.,السماح بفتح شاشة عربة التسوق التي تواجه العملاء للقراءة فقط.,
Allow this profile to view all company profiles in dashboard scope selector.,السماح لملف التعريف هذا بعرض كافة الملفات الشخصية للشركة في محدد نطاق لوحة المعلومات.,
Allowed POS Expense Accounts,حسابات مصاريف نقاط البيع المسموح بها,
Allowed POS Source Accounts,حسابات مصدر نقاط البيع المسموح بها,
Allowed Sales Persons,المسموح لرجال المبيعات,
Allowed UOM is {0},وحدة القياس المسموح بها هي {0},
Allows allocating more leaves than the number of days in the allocation period.,يسمح بتخصيص إجازات أكثر من عدد الأيام في فترة التخصيص.,
Allows printing or PDF download of documents.,يسمح بطباعة المستندات أو تنزيلها بصيغة PDF.,
Allows sharing document access with other users.,يسمح بمشاركة الوصول إلى المستندات مع مستخدمين آخرين.,
Allows the user to access reports related to the document.,يسمح للمستخدم بالوصول إلى التقارير المتعلقة بالمستند.,
Allows the user to create new documents.,يسمح للمستخدم بإنشاء مستندات جديدة.,
Allows the user to delete documents.,يسمح للمستخدم بحذف المستندات.,
Allows the user to edit existing records they have access to.,يسمح للمستخدم بتحرير السجلات الموجودة التي يمكنه الوصول إليها.,
Allows the user to email from the document.,يسمح للمستخدم بإرسال بريد إلكتروني من المستند.,
Allows the user to export data from the Report view.,يسمح للمستخدم بتصدير البيانات من طريقة عرض التقرير.,
Allows the user to search and see records.,يسمح للمستخدم بالبحث والاطلاع على السجلات.,
Allows the user to use Data Import tool to create / update records.,يسمح للمستخدم باستخدام أداة استيراد البيانات لإنشاء/تحديث السجلات.,
Allows the user to view the document.,يسمح للمستخدم بعرض الوثيقة.,
Allows users to enable the mask property for any field of the respective doctype.,يسمح للمستخدمين بتمكين خاصية القناع لأي حقل من نوع المستند المعني.,
Already amended as {0},تم تعديله بالفعل كـ {0},
Amending,تعديل,
Amount Based on Formula,المبلغ على أساس الصيغة,
Amount claimed via Expense Claim,المبلغ المطالب به عن طريق المطالبة بالنفقات,
Amount in {0},المبلغ في {0},
Amount of expense,مقدار النفقة,
Amount paid against this encashment,المبلغ المدفوع مقابل هذا المبلغ,
Amount scheduled for deduction via salary,المبلغ المقرر خصمه من الراتب,
Amount should not be less than zero,يجب ألا يقل المبلغ عن الصفر,
Amount that has been paid against this advance,المبلغ الذي تم دفعه مقابل هذه السلفة,
An amount of {0} already claimed for the component {1}, set the amount equal or greater than {2},مبلغ {0} تمت المطالبة به بالفعل للمكون {1}، قم بتعيين المبلغ مساويًا أو أكبر من {2},
An attendance record is linked to this checkin. Please cancel the attendance before modifying time.,يرتبط سجل الحضور بهذا التسجيل. برجاء إلغاء الحضور قبل تعديل الوقت.,
An error has been appeared while reposting item valuation via {0},لقد ظهر خطأ أثناء إعادة نشر تقييم السلعة عبر {0},
An error occured for certain Items while creating Material Requests based on Re-order level. Please rectify these issues :,حدث خطأ لعناصر معينة أثناء إنشاء طلبات المواد بناءً على مستوى إعادة الطلب. يرجى تصحيح هذه المشاكل:,
Annual Allocation Exceeded,تم تجاوز التخصيص السنوي,
Annual Taxable Amount,المبلغ السنوي الخاضع للضريبة,
Another Cost Center Allocation record {0} applicable from {1}, hence this allocation will be applicable upto {2},سجل تخصيص مركز تكلفة آخر {0} ينطبق من {1}، وبالتالي سيكون هذا التخصيص قابلاً للتطبيق حتى {2},
Another Item Name,اسم عنصر آخر,
Another Payment Request is already processed,تمت معالجة طلب دفع آخر بالفعل,
Any one of following filters required: warehouse, Item Code, Item Group,مطلوب أي من المرشحات التالية: المستودع، رمز الصنف، مجموعة الصنف,
Any other remarks, noteworthy effort that should go in the records,وأية ملاحظات أخرى، فالجهد الجدير بالذكر يجب أن يسجل في المحاضر,
Api Key,مفتاح واجهة برمجة التطبيقات,
Api Secret,سر واجهة برمجة التطبيقات,
App Access Key and/or Secret Key are not present.,مفتاح الوصول إلى التطبيق و/أو المفتاح السري غير موجودين.,
Appearance and user-level preferences for the current session.,المظهر والتفضيلات على مستوى المستخدم للجلسة الحالية.,
Applicable Earnings Component,مكون الأرباح المطبق,
Applicant Name,اسم مقدم الطلب,
Applicant Rating,تقييم مقدم الطلب,
Applications Received,الطلبات المستلمة,
Applications received:,الطلبات المستلمة:,
Applied Stored Value,القيمة المخزنة المطبقة,
Applied now,تطبق الآن,
Applied on each reading.,تطبق على كل قراءة.,
Applied putaway rules.,قواعد الاحتجاز المطبقة.,
Applies To,ينطبق على,
Apply Assignment Rule,تطبيق قاعدة التعيين,
Apply For POS Profiles,التقدم بطلب للحصول على ملفات تعريف نقاط البيع,
Apply Putaway Rule,تطبيق قاعدة Putaway,
Apply Recursion Over (As Per Transaction UOM),تطبيق العودية على (حسب UOM للمعاملة),
Apply SLA for Resolution Time,تطبيق اتفاقية مستوى الخدمة (SLA) لوقت الحل,
Apply Stored Value,تطبيق القيمة المخزنة,
Apply TDS,تطبيق المواد الصلبة الذائبة,
Apply restriction on dimension values,تطبيق القيود على قيم الأبعاد,
Apply to All Inventory Documents,تنطبق على كافة وثائق المخزون,
Apply to Document,تنطبق على الوثيقة,
Appointment Created Successfully,تم إنشاء الموعد بنجاح,
Appointment Scheduling Disabled,تم تعطيل جدولة المواعيد,
Appraisal Cycle,دورة التقييم,
Appraisal KRA,تقييم KRA,
Appraisal Linking,ربط التقييم,
Appraisal Overview,نظرة عامة على التقييم,
Appraisal Template Missing,قالب التقييم مفقود,
Appraisal Template not found for some designations.,لم يتم العثور على نموذج التقييم لبعض التسميات.,
Appraisal creation is queued. It may take a few minutes.,يتم وضع إنشاء التقييم في قائمة الانتظار. قد يستغرق الأمر بضع دقائق.,
Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period,التقييم {0} موجود بالفعل للموظف {1} لدورة التقييم هذه أو الفترة المتداخلة,
Appraisal {0} does not belong to Employee {1},التقييم {0} لا ينتمي إلى الموظف {1},
Appraisee,المثمن,
Appraisees: {0},المثمنون: {0},
Approval,موافقة,
Approved,موافقة,
Ar,آر,
Are you sure you want to delete page {0}?,هل أنت متأكد أنك تريد حذف الصفحة {0}؟,
Are you sure you want to delete the attachment,هل أنت متأكد أنك تريد حذف المرفق,
